DOI,Title,Category,Description
10.1109/ICSA-C65153.2025.00070,An Exploratory Study on Architectural Smell Refactoring Using Large Languages Models,Software Engineering,"The paper investigates the use of Large Language Models (LLMs) to suggest refactoring strategies for architectural smells, specifically focusing on Cyclic Dependencies. It demonstrates that detailed prompts and Retrieval-Augmented Generation (RAG) can enhance LLMs' effectiveness in this context, and suggests that a multi-agent approach may be beneficial for handling more complex architectural smells."
10.1145/3639474.3640068,Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,Artificial Intelligence,"The paper conducts an empirical study to evaluate the effectiveness of AI-generated content detectors in distinguishing between human-written and AI-generated code, revealing that current detectors struggle to accurately identify AI-generated code, which has significant implications for programming education and academic integrity."
10.1109/MIPRO60963.2024.10569274,Student Perception of Using Generative AI Tools in Relation to Academic Integrity and Their Advantages and Disadvantages,Human-Computer Interaction,"The paper investigates student perceptions of generative AI tools in academic settings, focusing on their impact on academic integrity and identifying perceived advantages and disadvantages, contributing to the discourse on how educational institutions might integrate or regulate such technologies."
10.1109/ICSCC62041.2024.10690334,Chatbots in Education: A Systematic Literature Review,Artificial Intelligence,"This paper conducts a systematic literature review on the use of chatbots, particularly those based on large language models, in educational settings. It explores their capabilities in personalizing tutoring, automating assessments, and providing feedback, while also discussing integration challenges and recommending future research directions to optimize their use in education."
10.1109/ICERCS63125.2024.10894980,Software Development Automation Using Generative AI,Software Engineering,"This paper explores the automation of the Software Development Lifecycle (SDLC) using Generative AI and Large Language Models, specifically through the Langchain framework, to streamline processes such as project planning, requirements gathering, code generation, testing, and deployment. The main contribution is demonstrating how AI can reduce human intervention, enhance efficiency, and accelerate software development timelines while addressing integration challenges."
10.1109/BigData62323.2024.10825945,Resources Construction and LLM Fine-tuning for Education of Computer Science,Artificial Intelligence,The paper constructs and enhances domain-specific datasets for computer science education and fine-tunes a large language model (LLaMA2-7B) using LoRA technology to improve its performance in question-answering tasks. The study significantly expands the dataset using data augmentation techniques and demonstrates that the fine-tuned model outperforms other baselines in educational question-answering across multiple computer science disciplines.
10.1109/ICLIE61478.2024.11015358,Generative AI-driven Digital Transformation in Education: Systematic Review and Future Research Directions,Artificial Intelligence,"The paper conducts a systematic review of 59 peer-reviewed articles to analyze the benefits and challenges of using generative AI in education, highlighting its potential to enhance learning experiences and engagement while addressing technological and ethical challenges. It provides a comprehensive resource for researchers and practitioners and outlines future research directions to further integrate generative AI into educational practices."
10.1109/ITIKD63574.2025.11005250,Developing a Framework for Using Large Language Models for Viva Assessments in Higher Education,Artificial Intelligence,"The paper develops a framework for evaluating Large Language Models (LLMs) in the context of viva assessments in higher education, aligning traditional academic assessment criteria with AI evaluation metrics. It refines initial evaluation strategies to address subjectivity and overlapping criteria, providing a dynamic model that enhances interdisciplinary evaluation methodologies for educational applications."
10.1109/ISIEA61920.2024.10607367,The Use of Chatbot and its Impact on Academic Achievement,Human-Computer Interaction,"This paper investigates the impact of AI chatbots, specifically ChatGPT, on students' academic achievement in programming language courses, finding that chatbots enhance learning motivation and self-efficacy, which in turn positively affect academic performance. The study provides insights for improving chatbot usability in educational contexts and contributes to the literature on educational technology."
10.1109/WAIE60568.2023.00016,"Harnessing the Potential of Chat GPT in Education: Unveiling its Value, Navigating Challenges, and Crafting Mitigation Pathways",Educational Technology,"The paper explores the transformative impact of Chat GPT in education, detailing its applications in enhancing educational support systems and teaching management. It also addresses the challenges posed by Chat GPT and proposes strategies for mitigation, providing insights for future advancements in educational paradigms."
10.1109/JICV59748.2023.10565703,Embracing the Future: Unveiling the Revolution of Human-AI Interaction in the Digital Education Era,Human-Computer Interaction,"The paper explores the psychological and emotional impacts of generative AI on students within digital education, highlighting the need for more comprehensive studies and methodologies to understand these effects, especially from early ages. It provides a theoretical foundation for future research in this area, despite facing limitations in data and resources."
10.1109/ISDFS60797.2024.10527283,Generative Artificial Intelligence in Latin American Higher Education: A Systematic Literature Review,Artificial Intelligence in Education,"This paper conducts a systematic literature review of 25 studies from 2021 to 2023, examining the application of AI and Generative AI in higher education across several Latin American countries. It identifies prevalent AI applications, perceptions among educators and students, and challenges faced by institutions, providing an updated understanding of AI's impact on education in the region."
10.1109/RE57278.2023.00033,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,Human-Computer Interaction,"The paper proposes a new field of competence called Digital Design, emphasizing a holistic design approach to address the complexity of integrating physical and digital products. It introduces a model for Shaping, Exploring, and Implementing digital products, aiming to guide businesses in creating sustainable digital solutions that align with user needs and organizational goals."
10.1109/ITHET61869.2024.10837603,Exploring Academic Integrity in the Age of Generative AI,Educational Technology / Academic Integrity,The paper investigates the impact of generative AI on academic integrity by analyzing incidents of academic misconduct at two universities in the UK and New Zealand. It highlights the challenges posed by AI-generated content to traditional plagiarism detection methods and underscores the need for new strategies to uphold academic honesty in the face of advanced AI technologies.
10.1109/CogInfoCom63007.2024.10894718,“Interactive AI for Software Development Learning: Shifting Focus to Requirement Specification”,Human-Computer Interaction,"The paper introduces a novel approach to programming education by focusing on requirement specification creation using ChatGPT, aiming to enhance learners' understanding of program design and structure. It evaluates the effectiveness of this method and provides insights into the future of programming education and the integration of interactive AI technologies."
10.1109/TrustCom63139.2024.00128,LLM4MDG: Leveraging Large Language Model to Construct Microservices Dependency Graph,Software Engineering,"The paper introduces LLM4MDG, a framework that utilizes a large language model-driven multi-agent system to construct microservices dependency graphs with high accuracy and adaptability. It addresses the limitations of previous methods by employing optimized prompt engineering and knowledge graph principles, validated through a new open-source dataset, achieving 88.3% accuracy in identifying data dependencies in a complex benchmark application."
10.1109/MC.2023.3313325,Educating Augmented Programmers,Artificial Intelligence,"The paper explores the integration of generative artificial intelligence and large language models in programming education, highlighting their potential to enhance the capabilities of human programmers. It discusses how these technologies can be leveraged to improve educational outcomes in programming."
10.1109/MC.2024.3445068,Navigating the Landscape of AI-Generated Text Detection: Issues and Solutions for Upholding Academic Integrity,Artificial Intelligence,"The paper explores the challenges posed by AI-generated text in academic settings and proposes three proactive strategies to ensure academic integrity, focusing on the evolving landscape of AI generative, detection, and humanizer technologies."
10.1109/MC.2024.3422589,Adapting to Generative Artificial Intelligence: Approaches in Higher Education Institutions,Artificial Intelligence in Education,"The paper explores how higher education institutions are adapting to the rise of generative artificial intelligence by implementing new policies, optimizing operations, updating curricula, and developing multidisciplinary programs, thereby demonstrating a proactive approach to integrating transformative educational practices."
